gene_id,symbol,SK-OV-3,SK-MEL-5,SK-MEL-28,SF539,SF295,SF268,RPMI-8226,PC-3,OVCAR-8,OVCAR-4,T47D,OVCAR-3,UACC-62,UACC-257,U251,U031,NCI-H522,NCI-H322M,EKVX,DU-145,BT-549,ACHN,A498,HOP-62,HOP-92,Hs-578-T,HT-29,NCI-H23,NCI-H226,NCI-H460,MDA-MB-231,MCF7,LOXIMVI,KM12,IGROV-1,MDA-MB-468,HCT-116,HCT-15,K-562,HL-60,SW620,A549,CAKI-1
SIDG22213,NPR1,2,1,0,1,0,1,1,1,-1,1,1,1,0,-1,1,-1,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,-1,1
SIDG22214,NPR2,2,-1,1,1,0,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,1,-1,0,2,-1,0,-1,0,-1,0,-1
SIDG22216,NPRL2,-1,1,-1,-1,0,1,0,0,1,-1,-1,1,-1,-2,-1,1,-1,-1,-1,-1,0,-1,-1,-1,0,1,-1,-1,-1,-1,0,-2,0,0,-1,-1,-1,0,-1,0,-1,-1,-1
SIDG22217,NPRL3,2,-1,1,-1,1,-1,1,0,1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,-1,1,0,0,0,-1,-2,0,0,0,-1,-1,-1
SIDG22229,NPY1R,0,1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,1,-2,-1,0,0,0,-1,-1,-1,0,-1,0,0,1,-1,0,-1,-1,0,0,0,0,0,-1,0
SIDG22260,NR4A1,0,0,-1,-1,0,0,0,1,-1,0,1,0,0,-1,-1,1,-1,0,-1,0,-1,1,-1,-1,0,-1,0,1,1,1,-1,1,1,0,0,-1,-1,0,0,0,1,0,1
SIDG22269,NRAS,0,-1,1,1,0,1,-1,1,1,-1,-1,1,1,1,1,-1,1,-1,0,-1,1,0,-1,-1,1,1,0,0,0,-1,1,2,-1,0,0,1,0,0,1,0,0,-1,0
SIDG22289,NRF1,-1,1,1,0,1,1,1,1,1,1,-1,0,1,1,1,1,1,-1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1
SIDG22290,NRG1,1,-1,-1,1,0,-1,-1,-1,2,-1,-1,1,1,-1,0,1,0,-1,-2,1,1,0,-1,-1,-2,2,-1,-1,-1,0,-1,-1,-1,0,1,-1,1,0,0,0,0,1,0
SIDG22293,NRG2,2,0,1,1,1,1,0,1,0,2,1,1,-1,-1,1,-1,1,0,0,-1,1,0,1,1,0,-1,0,1,0,1,0,1,1,0,0,0,0,0,0,-1,0,0,1
SIDG22296,NRG4,0,0,0,1,0,-1,1,-1,-1,-1,0,-1,-1,1,1,0,-1,1,2,0,-1,-1,0,-1,-1,-1,1,0,1,1,-1,1,0,0,-1,-1,0,0,0,0,0,1,-1
SIDG22329,NSMAF,0,1,1,1,0,0,-1,-1,-1,1,1,1,1,1,0,0,0,-1,-2,1,1,0,1,1,1,1,1,1,0,0,-1,0,1,0,1,-1,0,0,0,0,0,0,1
SIDG22368,NTF4,0,-1,1,1,1,-1,-1,-1,-1,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,-1,-1,-1,0,-1,0,-1,0,0,-1,0,0,0,-1,1,-1
SIDG22386,NTRK1,-1,0,0,1,0,1,1,0,-1,1,1,0,0,-1,1,-1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-1,1
SIDG22387,NTRK2,0,0,0,1,0,0,-1,0,1,-1,-1,-1,-1,-1,1,0,0,-1,-1,0,1,0,1,-1,-1,-1,0,0,0,1,0,-1,1,0,0,0,0,0,-1,0,0,-1,-1
SIDG22388,NTRK3,0,0,2,1,0,0,0,-1,-1,-1,-1,-1,0,2,1,-1,-1,1,1,1,-1,0,0,0,-1,-1,1,0,1,1,-1,1,0,0,0,-1,0,0,0,0,0,1,0
